month,offered_load_erl,blocking_prob,blocking_kpi_met,channels_required,n_baseline,upgrade_needed
0,0.75,0.006234,True,4,4,False
1,0.756,0.006397,True,4,4,False
2,0.762,0.006564,True,4,4,False
3,0.7681,0.006735,True,4,4,False
4,0.7742,0.006911,True,4,4,False
5,0.7804,0.00709,True,4,4,False
6,0.7866,0.007274,True,4,4,False
7,0.7929,0.007462,True,4,4,False
8,0.7992,0.007655,True,4,4,False
9,0.8056,0.007852,True,4,4,False
10,0.812,0.008054,True,4,4,False
11,0.8185,0.008261,True,4,4,False
12,0.825,0.008473,True,4,4,False
13,0.8316,0.008689,True,4,4,False
14,0.8382,0.008911,True,4,4,False
15,0.8449,0.009138,True,4,4,False
16,0.8516,0.00937,True,4,4,False
17,0.8584,0.009608,True,4,4,False
18,0.8653,0.009851,True,4,4,False
19,0.8722,0.0101,True,4,4,False
20,0.8791,0.010354,True,4,4,False
21,0.8861,0.010614,True,4,4,False
22,0.8932,0.010881,True,4,4,False
23,0.9003,0.011153,True,4,4,False
24,0.9075,0.011432,True,4,4,False
25,0.9147,0.011717,True,4,4,False
26,0.922,0.012008,True,4,4,False
27,0.9294,0.012306,True,4,4,False
28,0.9368,0.01261,True,4,4,False
29,0.9443,0.012922,True,4,4,False
30,0.9518,0.01324,True,4,4,False
31,0.9594,0.013566,True,4,4,False
32,0.967,0.013898,True,4,4,False
33,0.9747,0.014238,True,4,4,False
34,0.9825,0.014586,True,4,4,False
35,0.9904,0.014941,True,4,4,False
36,0.9983,0.015304,True,4,4,False
