month,telemetry_mbps,voice_mbps,video_mbps,total_mbps
0,8.5e-05,0.24,160.0,160.2401
1,8.7e-05,0.2419,164.0518,164.2938
2,8.8e-05,0.2438,168.2063,168.4502
3,9e-05,0.2458,172.466,172.7119
4,9.2e-05,0.2477,176.8335,177.0814
5,9.3e-05,0.2497,181.3117,181.5615
6,9.5e-05,0.2517,185.9032,186.155
7,9.7e-05,0.2537,190.611,190.8648
8,9.9e-05,0.2557,195.4381,195.6939
9,0.0001,0.2578,200.3874,200.6452
10,0.000102,0.2598,205.462,205.7219
11,0.000104,0.2619,210.6651,210.9271
12,0.000106,0.264,216.0,216.2641
13,0.000108,0.2661,221.47,221.7362
14,0.00011,0.2682,227.0785,227.3469
15,0.000112,0.2704,232.8291,233.0995
16,0.000114,0.2725,238.7252,238.9979
17,0.000117,0.2747,244.7707,245.0455
18,0.000119,0.2769,250.9693,251.2463
19,0.000121,0.2791,257.3249,257.6041
20,0.000123,0.2813,263.8414,264.1228
21,0.000126,0.2836,270.5229,270.8066
22,0.000128,0.2858,277.3737,277.6596
23,0.00013,0.2881,284.3979,284.6861
24,0.000133,0.2904,291.6,291.8905
25,0.000135,0.2927,298.9845,299.2773
26,0.000138,0.295,306.556,306.8512
27,0.00014,0.2974,314.3192,314.6168
28,0.000143,0.2998,322.2791,322.579
29,0.000146,0.3022,330.4405,330.7428
30,0.000148,0.3046,338.8086,339.1133
31,0.000151,0.307,347.3886,347.6957
32,0.000154,0.3095,356.1859,356.4955
33,0.000157,0.3119,365.206,365.518
34,0.00016,0.3144,374.4544,374.769
35,0.000163,0.3169,383.9372,384.2542
36,0.000166,0.3194,393.66,393.9796
