distance_km,fspl_db,okumura_hata_db,cost231_db,rx_power_dbm,margin_above_thr_db,link_quality
0.5,91.53,123.65,125.59,-67.59,22.41,good
1.0,97.56,134.25,136.2,-78.2,11.8,good
2.0,103.58,144.85,146.8,-88.8,1.2,marginal
3.0,107.1,151.06,153.0,-95.0,-5.0,poor
5.0,111.53,158.87,160.82,-102.82,-12.82,poor
7.0,114.46,164.02,165.97,-107.97,-17.97,poor
10.0,117.56,169.48,171.42,-113.42,-23.42,poor
12.0,119.14,172.27,174.21,-116.21,-26.21,poor
15.0,121.08,175.68,177.62,-119.62,-29.62,poor
18.0,122.66,178.47,180.41,-122.41,-32.41,poor
20.0,123.58,180.08,182.03,-124.03,-34.03,poor
25.0,125.51,183.49,185.44,-127.44,-37.44,poor
30.0,127.1,186.28,188.23,-130.23,-40.23,poor
