x_km,y_km,rx_power_dbm
0.0,0.0,-117.21
4.202,0.0,-114.45
8.403,0.0,-113.43
12.605,0.0,-114.89
16.807,0.0,-115.49
21.008,0.0,-111.71
25.21,0.0,-110.01
29.412,0.0,-112.04
33.613,0.0,-115.9
37.815,0.0,-114.66
42.017,0.0,-113.42
46.218,0.0,-114.67
0.0,4.202,-113.24
4.202,4.202,-107.82
8.403,4.202,-105.12
12.605,4.202,-108.82
16.807,4.202,-111.86
21.008,4.202,-104.3
25.21,4.202,-98.64
29.412,4.202,-105.15
33.613,4.202,-112.5
37.815,4.202,-108.29
42.017,4.202,-105.08
46.218,4.202,-108.33
0.0,8.403,-110.31
4.202,8.403,-99.86
8.403,8.403,-85.83
12.605,8.403,-102.43
16.807,8.403,-110.39
21.008,8.403,-99.45
25.21,8.403,-66.14
29.412,8.403,-100.97
33.613,8.403,-111.0
37.815,8.403,-101.14
42.017,8.403,-85.36
46.218,8.403,-101.24
0.0,12.605,-110.78
4.202,12.605,-101.56
8.403,12.605,-93.03
12.605,12.605,-103.68
16.807,12.605,-112.12
21.008,12.605,-105.85
25.21,12.605,-101.58
29.412,12.605,-106.54
33.613,12.605,-111.43
37.815,12.605,-102.6
42.017,12.605,-92.84
46.218,12.605,-102.69
0.0,16.807,-114.17
4.202,16.807,-109.61
8.403,16.807,-107.56
12.605,16.807,-110.42
16.807,16.807,-115.06
21.008,16.807,-112.91
25.21,16.807,-111.48
29.412,16.807,-113.19
33.613,16.807,-114.6
37.815,16.807,-109.99
42.017,16.807,-107.54
46.218,16.807,-110.02
0.0,21.008,-118.13
4.202,21.008,-115.75
8.403,21.008,-114.9
12.605,21.008,-116.13
16.807,21.008,-118.68
21.008,21.008,-118.13
25.21,21.008,-117.45
29.412,21.008,-118.28
33.613,21.008,-118.39
37.815,21.008,-115.92
42.017,21.008,-114.89
46.218,21.008,-115.94
0.0,25.21,-121.37
4.202,25.21,-119.9
8.403,25.21,-119.41
12.605,25.21,-120.12
16.807,25.21,-121.73
21.008,25.21,-122.13
25.21,25.21,-121.73
29.412,25.21,-122.21
33.613,25.21,-121.54
37.815,25.21,-120.0
42.017,25.21,-119.41
46.218,25.21,-120.01
0.0,29.412,-117.75
4.202,29.412,-115.22
8.403,29.412,-114.31
12.605,29.412,-115.62
16.807,29.412,-118.32
21.008,29.412,-121.33
25.21,29.412,-123.91
29.412,29.412,-121.04
33.613,29.412,-118.02
37.815,29.412,-115.41
42.017,29.412,-114.3
46.218,29.412,-115.42
0.0,33.613,-113.78
4.202,33.613,-108.88
8.403,33.613,-106.59
12.605,33.613,-109.76
16.807,33.613,-114.71
21.008,33.613,-119.1
25.21,33.613,-122.38
29.412,33.613,-118.7
33.613,33.613,-114.23
37.815,33.613,-109.29
42.017,33.613,-106.56
46.218,33.613,-109.33
0.0,37.815,-110.56
4.202,37.815,-100.8
8.403,37.815,-90.41
12.605,37.815,-103.11
16.807,37.815,-111.93
21.008,37.815,-117.66
25.21,37.815,-121.48
29.412,37.815,-117.17
33.613,37.815,-111.23
37.815,37.815,-101.94
42.017,37.815,-90.15
46.218,37.815,-102.04
0.0,42.017,-110.48
4.202,42.017,-100.51
8.403,42.017,-89.23
12.605,42.017,-102.9
16.807,42.017,-111.87
21.008,42.017,-117.63
25.21,42.017,-121.46
29.412,42.017,-117.14
33.613,42.017,-111.16
37.815,42.017,-101.69
42.017,42.017,-88.93
46.218,42.017,-101.79
0.0,46.218,-113.62
4.202,46.218,-108.58
8.403,46.218,-106.19
12.605,46.218,-109.5
16.807,46.218,-114.57
21.008,46.218,-119.02
25.21,46.218,-122.33
29.412,46.218,-118.61
33.613,46.218,-114.08
37.815,46.218,-109.01
42.017,46.218,-106.15
46.218,46.218,-109.05
